participant.id,participant.code,participant.label,assigned_role,group.id,final.offer,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,
22,cmlex1p5,SUB23,P2,8,20,4,80,20,35,65,80,20,0,0,1,
13,72kxcuck,SUB15,P2,9,1,4,80,20,38,62,99,1,0,0,5,
19,v2i3lbyw,SUB20,P1,9,1,4,80,20,38,62,99,1,0,0,5,
4,f0vz9i76,SUB04,P2,3,10,4,75,25,30,70,90,10,0,0,7,
19,v2i3lbyw,SUB20,P1,3,10,4,75,25,30,70,90,10,0,0,7,
22,cmlex1p5,SUB23,P2,3,1,4,79,21,40,60,99,1,0,0,8,
26,p510d7qp,SUB27,P1,3,1,4,79,21,40,60,99,1,0,0,8,
13,72kxcuck,SUB15,P2,13,0,4,73,27,40,60,100,0,0,0,9,
15,2p0g017c,SUB16,P1,13,0,4,73,27,40,60,100,0,0,0,9,
22,cmlex1p5,SUB23,P2,2,10,4,69,31,40,60,90,10,0,0,9,
26,p510d7qp,SUB27,P1,2,10,4,69,31,40,60,90,10,0,0,9,
